Type,Vehicle name,Frequency
FHV,13bb3e1eba3d4fddd69502e78115ac97,11.96875
FHV,13c7e62c6b4eba848582be288515e226,10.4
FHV,142811a525349d9aa86fb0c18de563ba,3.111111111
FHV,146c032c51fa8dbf6d1922f80061342a,9.6
FHV,1484506de765f126cd0018ef2bb25e97,5.130434783
FHV,14ec695d3147f88efc57af8f21a7dc61,12.6
FHV,150225c2de5a5516ee96e871c6d3ad60,23.1875
FHV,1521c043293b50884c2925abf2452657,10.22222222
FHV,1558abcaf00f82656ff6293b4963ba24,12.33333333
FHV,15c407cba858f0b816d2b88b10ea0ec2,14.025
FHV,15da298b21a1cb2d3d9fc9e2e370b08c,5.294117647
FHV,15e74ec7832f148c1b294196ed3de9f4,12.55555556
FHV,15ff1e61f4ec02d7f921fbc64e180fdf,17.33333333
FHV,16792000ffc95611677763b49972550a,9.735294118
FHV,1694ddf92fe9e9d8a0f070270e8c2715,21.27272727
FHV,169d573a5685c56ef50e901852de823c,20.6
FHV,16e0ea7a930a741ea2351ea4b8b8d120,19.6875
FHV,16e8c200809cf03ccb37ffd383fa78a7,5.08
FHV,172fdd3ba3489880db95bbd08c4461d7,9
FHV,177c18f00be78b46bb9e1a7f762d791f,7.666666667
FHV,18165b1f69629af2d3f28856a3246bfe,11.91891892
FHV,1826522632f1ac484a80334c9dff1b3b,13.03571429
FHV,1831d7b6f191e8cbe54a90070db7ed40,7.666666667
FHV,183600384da6444c5c4ba4b26e770a89,8.333333333
FHV,1865d2eca6d2fcb370506f4c3e3b1633,19.14285714
FHV,186dabf2bbf8a42236e39f7827778d1d,51.875
FHV,18a318b0efb56294c14dccfb319088fa,23.71428571
FHV,18e569b13d362984711e89e2fbf26e4f,4.357142857
FHV,18e795f33b54ee28427495a94ee66a66,6.666666667
FHV,19175f2122cdc77488dd6a13ef9afc23,6.578947368
FHV,1935a677d380f3869725a6da5faf9823,8.228571429
FHV,1958aab3c3aed44d86111cfafc241ef3,23.33333333
FHV,198dabd5b4d67c159199a6501e2ce2f7,13.11111111
FHV,19de388511231d0f3903045efd85602e,2.6
FHV,19f4bf043d3ff017fa68b26694621395,13.4
FHV,1a03a9d21000d82b033d7eec3ab85313,20.3
FHV,1a8e0c672172a04bb0e307234550dd4c,12.475
FHV,1a96222f352b73c55822761f59544ddc,6.833333333
FHV,1a9b0d5e86983bd981578456a2a5a1f8,4.875
FHV,1a9e19efe82acbd6a92bada2c445c7b6,13.425
FHV,1b00c22ca03ac745901d75cc72def673,2
FHV,1b1fe5725722116bea90653b2834706e,22.025
FHV,1b3ebc743c9ff211029c454ea04e918a,6.6
FHV,1b50c9f7694ea2a09a8010f1763b907a,19.63636364
FHV,1b7699394425aa2c720ea51fe7ba94e9,25.66666667
FHV,1bc8c14881b24257303e94798909aeaf,11.63636364
FHV,1c1123a53150c8cc41a3a4f2abc59595,20.08
FHV,1c4292f69759ec1c59e8178f42932c29,13.5
FHV,1c4bc8c73de2486bee9c89739eecf26a,5.416666667
FHV,1c6b1ddafec2be6b9d86ccadcc0bc3f2,13.1875
FHV,1c80c8ac022eb701767f34270a79257e,4.714285714
FHV,1c830aace160330ed9a4389e515e37a1,8.75
FHV,1c94f264af2f4828cc26666da0f8f883,8.125
FHV,1c96bcea9fc461e269966c699a2165b1,29.3125
FHV,1ca163b8877101356c55635218e37f85,54.2
FHV,1ccc1367067d0af66ef94b1d2bfc4415,5
FHV,1cd3938dbaf24504e98f372cae4af069,7.615384615
FHV,1d38a863f12e3cd2f204ea0bfcb6bf6c,1
FHV,1d4b8cff3794eb898743deb3e7c6e290,3.428571429
FHV,1d5a01977e80e50d1682f6ffb4a4452c,27.75
FHV,1d605863e782fb326ad4c2d07a7738b7,10.625
FHV,1d7e518f18863522c1ccb46b3efeaaae,7.6
FHV,1dcc5914281a37f0d4ba8b660fe8605b,40.42307692
FHV,1de0dc4bf11be7dc1a770b313a0ad958,10.875
FHV,1e005e2bec2fb58a0f95695111b1335c,10.1
FHV,1e5f9b2a4885bc652ffc322d6b6a9edc,5.45
FHV,1e747cb525f2868631a3e21f4f112222,20.1875
FHV,1eaf2f4935f996859b6d4a908f13c9ca,10.825
FHV,1eb3c4affe9eabf56ba33869660bd976,8
FHV,1ebbdca07a1e81387acddf08dd0ea9c6,6.4375
FHV,1ec0cfcf83ac3a32f8b266af5d3fe201,20.625
FHV,1ee0b2d3358b97caf60b4379c6b112f1,11.875
FHV,1ef07691144e0ed9f315f4243eecbc21,17.3
FHV,1f36719f624556215a010a089e689a3a,19.33333333
FHV,1f93642ffb93c9660b84e98ebd4ee1f9,7.153846154
FHV,1fa855898b811dcbff5e6a231b76d670,12.41666667
FHV,1fc56e34be681f7d2a9440e489757983,19.375
FHV,2025ef4b43f8cd58d04572337493def4,13.325
FHV,2052050cdd3740057553cf132a2a5986,3.2
FHV,205ac4f9a53befc87d3d3fc9fef08de9,6.6
FHV,20b1636f829f8da179cc1383fe0c3e35,17.4
FHV,20bd870e730a0ad904c5f8f47fd66240,25.1875
FHV,20e6e2d416c1b3094ba9dd4fa911d338,6.592592593
FHV,20f396f6ef14e50cd4ce6a2baa014f63,4.947368421
FHV,20f41af1f03b186676dc035300b7d47c,13.52380952
FHV,20f93c41f0440749237b6a194d9be7a4,10.52
FHV,21593eed08c9a5146ce5ba1203dd268c,6.5
